class_idx,region,baseline_f1,baseline_acc,rebal_f1,rebal_acc,rebal_crt_f1,rebal_crt_acc
41,mid,0.837696,0.800000,0.532374,0.740000,0.659898,0.650000
42,mid,0.523490,0.780000,0.327434,0.370000,0.425000,0.510000
43,mid,0.662857,0.580000,0.304000,0.190000,0.476190,0.450000
44,mid,0.308411,0.330000,0.019048,0.010000,0.082353,0.070000
45,mid,0.465116,0.500000,0.061069,0.040000,0.182857,0.160000
46,mid,0.482412,0.480000,0.298507,0.200000,0.306818,0.270000
47,mid,0.583732,0.610000,0.393701,0.750000,0.535519,0.490000
48,mid,0.832618,0.970000,0.544218,0.400000,0.678899,0.740000
49,mid,0.768519,0.830000,0.493976,0.410000,0.562500,0.630000
50,mid,0.409524,0.430000,0.000000,0.000000,0.108108,0.080000
51,mid,0.666667,0.700000,0.216667,0.130000,0.306122,0.300000
52,mid,0.585153,0.670000,0.233766,0.180000,0.628099,0.760000
53,mid,0.830189,0.880000,0.663043,0.610000,0.735043,0.860000
54,mid,0.711538,0.740000,0.533981,0.550000,0.529412,0.630000
55,mid,0.253807,0.250000,0.000000,0.000000,0.134831,0.120000
56,mid,0.850000,0.850000,0.657778,0.740000,0.700935,0.750000
57,mid,0.739583,0.710000,0.381679,0.250000,0.566845,0.530000
58,mid,0.775510,0.760000,0.508711,0.730000,0.569948,0.550000
59,mid,0.563107,0.580000,0.124031,0.080000,0.319527,0.270000
60,mid,0.846939,0.830000,0.543689,0.840000,0.673267,0.680000
61,mid,0.585106,0.550000,0.437500,0.420000,0.542714,0.540000
62,mid,0.663636,0.730000,0.412979,0.700000,0.497696,0.540000
63,mid,0.542056,0.580000,0.301887,0.400000,0.379147,0.400000
64,mid,0.429379,0.380000,0.051724,0.030000,0.151163,0.130000
65,mid,0.400000,0.350000,0.088235,0.060000,0.178571,0.150000
66,mid,0.593750,0.570000,0.225806,0.140000,0.250000,0.240000
67,tail,0.500000,0.540000,0.246809,0.580000,0.358744,0.400000
68,tail,0.862745,0.880000,0.604027,0.900000,0.774775,0.860000
69,tail,0.702703,0.650000,0.562162,0.520000,0.603774,0.640000
70,tail,0.649485,0.630000,0.362205,0.460000,0.433962,0.460000
71,tail,0.718232,0.650000,0.472727,0.390000,0.577114,0.580000
72,tail,0.269663,0.240000,0.139665,0.250000,0.099291,0.070000
73,tail,0.439024,0.450000,0.325581,0.350000,0.337662,0.390000
74,tail,0.424870,0.410000,0.158416,0.240000,0.259615,0.270000
75,tail,0.816754,0.780000,0.579186,0.640000,0.603774,0.640000
76,tail,0.829016,0.800000,0.686567,0.690000,0.710280,0.760000
77,tail,0.518519,0.420000,0.150376,0.100000,0.217617,0.210000
78,tail,0.504673,0.540000,0.186869,0.370000,0.276498,0.300000
79,tail,0.582278,0.460000,0.317241,0.230000,0.410000,0.410000
80,tail,0.279720,0.200000,0.019231,0.010000,0.054054,0.030000
81,tail,0.525714,0.460000,0.404580,0.530000,0.488263,0.520000
82,tail,0.860215,0.800000,0.655172,0.570000,0.727273,0.680000
83,tail,0.496894,0.400000,0.373134,0.500000,0.383178,0.410000
84,tail,0.529801,0.400000,0.287425,0.240000,0.312849,0.280000
85,tail,0.737430,0.660000,0.416667,0.300000,0.556098,0.570000
86,tail,0.571429,0.500000,0.356364,0.490000,0.410256,0.480000
87,tail,0.673469,0.660000,0.451178,0.670000,0.500000,0.510000
88,tail,0.576923,0.450000,0.222222,0.130000,0.397849,0.370000
89,tail,0.611465,0.480000,0.256000,0.160000,0.438776,0.430000
90,tail,0.595238,0.500000,0.280255,0.220000,0.400000,0.330000
91,tail,0.624277,0.540000,0.397959,0.390000,0.485981,0.520000
92,tail,0.391892,0.290000,0.070175,0.040000,0.335329,0.280000
93,tail,0.251852,0.170000,0.053476,0.050000,0.149254,0.150000
94,tail,0.802198,0.730000,0.654762,0.550000,0.764398,0.730000
95,tail,0.441176,0.300000,0.355556,0.560000,0.344498,0.360000
96,tail,0.274194,0.170000,0.150538,0.140000,0.306122,0.300000
97,tail,0.344262,0.210000,0.019231,0.010000,0.207650,0.190000
98,tail,0.092593,0.050000,0.067797,0.040000,0.153005,0.140000
99,tail,0.448980,0.330000,0.295302,0.220000,0.355769,0.370000
