class_idx,region,baseline_f1,baseline_acc,rebal_f1,rebal_acc,rebal_crt_f1,rebal_crt_acc
0,head,0.861244,0.900000,0.684492,0.640000,0.737864,0.760000
1,head,0.774775,0.860000,0.357143,0.700000,0.510823,0.590000
2,head,0.573913,0.660000,0.219178,0.160000,0.316832,0.320000
3,head,0.452174,0.520000,0.000000,0.000000,0.184971,0.160000
4,head,0.465753,0.680000,0.062992,0.040000,0.167665,0.140000
5,head,0.706422,0.770000,0.382979,0.450000,0.437209,0.470000
6,head,0.714286,0.800000,0.335878,0.220000,0.502415,0.520000
7,head,0.626087,0.720000,0.313167,0.440000,0.408163,0.400000
8,head,0.785714,0.880000,0.679245,0.720000,0.631016,0.590000
9,head,0.822335,0.810000,0.592965,0.590000,0.571429,0.600000
10,head,0.491803,0.600000,0.262911,0.560000,0.362069,0.420000
11,head,0.437500,0.560000,0.258993,0.180000,0.244681,0.230000
12,head,0.705357,0.790000,0.432432,0.320000,0.478469,0.500000
13,head,0.571429,0.720000,0.265193,0.240000,0.400000,0.400000
14,head,0.607595,0.720000,0.270270,0.250000,0.259615,0.270000
15,head,0.672897,0.720000,0.255639,0.170000,0.295082,0.270000
16,head,0.644351,0.770000,0.440000,0.550000,0.476636,0.510000
17,head,0.832487,0.820000,0.700508,0.690000,0.682927,0.700000
18,head,0.565401,0.670000,0.362694,0.350000,0.348624,0.380000
19,head,0.602871,0.630000,0.325581,0.210000,0.320988,0.260000
20,head,0.790244,0.810000,0.587361,0.790000,0.646288,0.740000
21,head,0.764706,0.780000,0.576687,0.470000,0.615385,0.720000
22,head,0.571429,0.640000,0.319588,0.310000,0.360656,0.330000
23,head,0.787879,0.780000,0.613861,0.620000,0.630000,0.630000
24,head,0.768473,0.780000,0.489960,0.610000,0.547826,0.630000
25,head,0.603774,0.640000,0.208955,0.140000,0.239130,0.220000
26,head,0.488889,0.660000,0.224422,0.340000,0.273128,0.310000
27,head,0.470085,0.550000,0.242188,0.310000,0.270677,0.360000
28,head,0.706422,0.770000,0.511450,0.670000,0.626168,0.670000
29,head,0.608295,0.660000,0.344086,0.320000,0.367347,0.360000
30,head,0.600000,0.720000,0.148649,0.110000,0.313725,0.320000
31,head,0.645161,0.600000,0.378378,0.280000,0.351064,0.330000
32,head,0.619289,0.610000,0.219020,0.380000,0.333333,0.320000
33,mid,0.619469,0.700000,0.432000,0.540000,0.417476,0.430000
34,mid,0.679612,0.700000,0.056604,0.030000,0.238636,0.210000
35,mid,0.391960,0.390000,0.171875,0.110000,0.180556,0.130000
36,mid,0.728205,0.710000,0.413333,0.310000,0.479592,0.470000
37,mid,0.650485,0.670000,0.483221,0.360000,0.542714,0.540000
38,mid,0.529101,0.500000,0.239631,0.260000,0.311321,0.330000
39,mid,0.724490,0.710000,0.525862,0.610000,0.567308,0.590000
40,mid,0.594595,0.660000,0.265625,0.170000,0.365957,0.430000
