class_idx,region,baseline_f1,baseline_acc,rebal_f1,rebal_acc,rebal_crt_f1,rebal_crt_acc
52,mid,0.575540,0.800000,0.598361,0.730000,0.551402,0.590000
53,mid,0.627178,0.900000,0.846512,0.910000,0.864078,0.890000
54,mid,0.521739,0.420000,0.688372,0.740000,0.700935,0.750000
55,mid,0.000000,0.000000,0.246154,0.240000,0.231481,0.250000
56,mid,0.521739,0.360000,0.820000,0.820000,0.829016,0.800000
57,mid,0.444444,0.320000,0.700508,0.690000,0.706468,0.710000
58,mid,0.604167,0.580000,0.705882,0.720000,0.721649,0.700000
59,mid,0.291667,0.210000,0.497175,0.440000,0.531250,0.510000
60,mid,0.658824,0.840000,0.820000,0.820000,0.791667,0.760000
61,mid,0.348485,0.230000,0.644444,0.580000,0.644068,0.570000
62,mid,0.520000,0.520000,0.616162,0.610000,0.603774,0.640000
63,mid,0.233100,0.500000,0.560440,0.510000,0.560440,0.510000
64,mid,0.196464,0.500000,0.507772,0.490000,0.442211,0.440000
65,mid,0.053097,0.030000,0.327273,0.270000,0.376344,0.350000
66,mid,0.290429,0.440000,0.609524,0.640000,0.655738,0.600000
67,tail,0.170940,0.100000,0.505051,0.500000,0.484848,0.480000
68,tail,0.757991,0.830000,0.899522,0.940000,0.912621,0.940000
69,tail,0.595122,0.610000,0.760417,0.730000,0.762887,0.740000
70,tail,0.370370,0.300000,0.673684,0.640000,0.663265,0.650000
71,tail,0.377622,0.270000,0.757576,0.750000,0.734694,0.720000
72,tail,0.018018,0.010000,0.233918,0.200000,0.274286,0.240000
73,tail,0.246575,0.180000,0.418605,0.360000,0.438776,0.430000
74,tail,0.192090,0.170000,0.414747,0.450000,0.408840,0.370000
75,tail,0.602041,0.590000,0.777778,0.770000,0.766839,0.740000
76,tail,0.678571,0.570000,0.802083,0.770000,0.810811,0.750000
77,tail,0.074074,0.040000,0.458824,0.390000,0.473988,0.410000
78,tail,0.174603,0.110000,0.500000,0.460000,0.488636,0.430000
79,tail,0.093458,0.050000,0.651429,0.570000,0.629213,0.560000
80,tail,0.000000,0.000000,0.346154,0.270000,0.335135,0.310000
81,tail,0.319588,0.310000,0.600000,0.600000,0.602151,0.560000
82,tail,0.606897,0.440000,0.825397,0.780000,0.812834,0.760000
83,tail,0.071429,0.040000,0.518072,0.430000,0.529412,0.450000
84,tail,0.127273,0.070000,0.474359,0.370000,0.481013,0.380000
85,tail,0.405063,0.320000,0.698925,0.650000,0.720430,0.670000
86,tail,0.215054,0.300000,0.628272,0.600000,0.622222,0.560000
87,tail,0.452055,0.330000,0.712042,0.680000,0.673913,0.620000
88,tail,0.019802,0.010000,0.702381,0.590000,0.666667,0.560000
89,tail,0.300752,0.200000,0.609756,0.500000,0.600000,0.480000
90,tail,0.200000,0.140000,0.573171,0.470000,0.596491,0.510000
91,tail,0.367647,0.250000,0.687179,0.670000,0.696629,0.620000
92,tail,0.075472,0.040000,0.517647,0.440000,0.493671,0.390000
93,tail,0.089286,0.050000,0.312925,0.230000,0.384106,0.290000
94,tail,0.693182,0.610000,0.830601,0.760000,0.808511,0.760000
95,tail,0.127273,0.070000,0.526316,0.450000,0.532544,0.450000
96,tail,0.000000,0.000000,0.349650,0.250000,0.369863,0.270000
97,tail,0.000000,0.000000,0.554839,0.430000,0.496732,0.380000
98,tail,0.000000,0.000000,0.275362,0.190000,0.277778,0.200000
99,tail,0.019608,0.010000,0.475610,0.390000,0.448980,0.330000
