class_idx,region,baseline_f1,baseline_acc,rebal_f1,rebal_acc,rebal_crt_f1,rebal_crt_acc
0,head,0.658960,0.570000,0.887805,0.910000,0.894231,0.930000
1,head,0.527473,0.720000,0.716157,0.820000,0.716157,0.820000
2,head,0.361775,0.530000,0.527778,0.570000,0.544554,0.550000
3,head,0.171053,0.130000,0.336842,0.320000,0.336134,0.400000
4,head,0.218085,0.410000,0.357143,0.400000,0.417021,0.490000
5,head,0.405797,0.420000,0.558140,0.600000,0.567308,0.590000
6,head,0.458333,0.440000,0.687500,0.770000,0.672646,0.750000
7,head,0.409756,0.420000,0.609091,0.670000,0.657143,0.690000
8,head,0.634146,0.520000,0.788991,0.860000,0.809524,0.850000
9,head,0.642857,0.540000,0.737864,0.760000,0.719626,0.770000
10,head,0.298578,0.630000,0.427419,0.530000,0.464912,0.530000
11,head,0.201342,0.150000,0.447761,0.450000,0.417062,0.440000
12,head,0.445498,0.470000,0.705882,0.780000,0.699115,0.790000
13,head,0.402556,0.630000,0.526316,0.650000,0.530120,0.660000
14,head,0.379147,0.400000,0.548387,0.680000,0.584071,0.660000
15,head,0.375587,0.400000,0.666667,0.780000,0.625514,0.760000
16,head,0.423188,0.730000,0.589862,0.640000,0.581818,0.640000
17,head,0.626263,0.620000,0.806122,0.790000,0.786408,0.810000
18,head,0.285714,0.310000,0.552995,0.600000,0.511628,0.550000
19,head,0.310345,0.270000,0.606635,0.640000,0.626866,0.630000
20,head,0.714286,0.600000,0.754545,0.830000,0.777251,0.820000
21,head,0.623853,0.680000,0.792079,0.800000,0.754717,0.800000
22,head,0.456522,0.420000,0.585586,0.650000,0.577982,0.630000
23,head,0.642487,0.620000,0.762887,0.740000,0.731481,0.790000
24,head,0.610169,0.540000,0.732673,0.740000,0.718447,0.740000
25,head,0.278481,0.440000,0.502326,0.540000,0.488688,0.540000
26,head,0.212860,0.480000,0.505929,0.640000,0.502128,0.590000
27,head,0.260563,0.370000,0.412017,0.480000,0.465753,0.510000
28,head,0.603550,0.510000,0.728155,0.750000,0.725581,0.780000
29,head,0.351020,0.430000,0.568807,0.620000,0.565217,0.650000
30,head,0.407843,0.520000,0.588235,0.600000,0.575472,0.610000
31,head,0.427083,0.410000,0.662857,0.580000,0.663158,0.630000
32,head,0.308176,0.490000,0.600939,0.640000,0.604651,0.650000
33,mid,0.441989,0.400000,0.607843,0.620000,0.579439,0.620000
34,mid,0.247934,0.150000,0.622951,0.570000,0.611399,0.590000
35,mid,0.315385,0.410000,0.417582,0.380000,0.482759,0.490000
36,mid,0.500000,0.500000,0.737968,0.690000,0.716578,0.670000
37,mid,0.460432,0.640000,0.613546,0.770000,0.636771,0.710000
38,mid,0.230769,0.180000,0.469484,0.500000,0.474419,0.510000
39,mid,0.300211,0.710000,0.705314,0.730000,0.726368,0.730000
40,mid,0.291793,0.480000,0.526749,0.640000,0.528000,0.660000
41,mid,0.630542,0.640000,0.793970,0.790000,0.811881,0.820000
42,mid,0.321429,0.540000,0.610169,0.720000,0.627803,0.700000
43,mid,0.037736,0.020000,0.662921,0.590000,0.673913,0.620000
44,mid,0.065574,0.040000,0.266667,0.340000,0.291339,0.370000
45,mid,0.148867,0.230000,0.403587,0.450000,0.445498,0.470000
46,mid,0.271605,0.220000,0.412371,0.400000,0.391960,0.390000
47,mid,0.503226,0.390000,0.576923,0.600000,0.595556,0.670000
48,mid,0.671875,0.860000,0.806867,0.940000,0.851852,0.920000
49,mid,0.540230,0.470000,0.754902,0.770000,0.757576,0.750000
50,mid,0.068966,0.040000,0.361905,0.380000,0.366812,0.420000
51,mid,0.412060,0.410000,0.634615,0.660000,0.639175,0.620000
