class_idx,region,baseline_f1,baseline_acc,rebal_f1,rebal_acc,rebal_crt_f1,rebal_crt_acc
90,tail,0.144144,0.080000,0.348993,0.260000,0.451613,0.420000
91,tail,0.409449,0.260000,0.321168,0.220000,0.505263,0.480000
92,tail,0.075472,0.040000,0.317343,0.430000,0.323699,0.280000
93,tail,0.000000,0.000000,0.068966,0.040000,0.119048,0.100000
94,tail,0.579310,0.420000,0.490251,0.880000,0.701923,0.730000
95,tail,0.094340,0.050000,0.109091,0.060000,0.350515,0.340000
96,tail,0.000000,0.000000,0.283784,0.210000,0.316940,0.290000
97,tail,0.203390,0.120000,0.090090,0.050000,0.265193,0.240000
98,tail,0.000000,0.000000,0.135231,0.190000,0.180952,0.190000
99,tail,0.366197,0.260000,0.296296,0.280000,0.390244,0.400000
