class_idx,region,baseline_f1,baseline_acc,rebal_f1,rebal_acc,rebal_crt_f1,rebal_crt_acc
0,head,0.680851,0.640000,0.591667,0.710000,0.705314,0.730000
1,head,0.488095,0.820000,0.517413,0.520000,0.517375,0.670000
2,head,0.424242,0.560000,0.177419,0.220000,0.347418,0.370000
3,head,0.278746,0.400000,0.134529,0.150000,0.207921,0.210000
4,head,0.285714,0.250000,0.114833,0.120000,0.109890,0.100000
5,head,0.470588,0.480000,0.350877,0.600000,0.412281,0.470000
6,head,0.467105,0.710000,0.391753,0.380000,0.457944,0.490000
7,head,0.423077,0.330000,0.400000,0.290000,0.458824,0.390000
8,head,0.685039,0.870000,0.527027,0.390000,0.633333,0.570000
9,head,0.640693,0.740000,0.670157,0.640000,0.683168,0.690000
10,head,0.319410,0.650000,0.321244,0.310000,0.393939,0.390000
11,head,0.350711,0.370000,0.299766,0.640000,0.275449,0.230000
12,head,0.421687,0.700000,0.328502,0.340000,0.400000,0.410000
13,head,0.363036,0.550000,0.285714,0.190000,0.346821,0.300000
14,head,0.342593,0.370000,0.307692,0.220000,0.353488,0.380000
15,head,0.502415,0.520000,0.309392,0.280000,0.400000,0.460000
16,head,0.460967,0.620000,0.486692,0.640000,0.509091,0.560000
17,head,0.695652,0.640000,0.571429,0.700000,0.620370,0.670000
18,head,0.328358,0.660000,0.409524,0.430000,0.421053,0.440000
19,head,0.529730,0.490000,0.291188,0.380000,0.404145,0.390000
20,head,0.761905,0.720000,0.708333,0.680000,0.666667,0.710000
21,head,0.627907,0.540000,0.586387,0.560000,0.616667,0.740000
22,head,0.291667,0.630000,0.224000,0.140000,0.444444,0.420000
23,head,0.708333,0.680000,0.496970,0.410000,0.620000,0.620000
24,head,0.681081,0.630000,0.245614,0.140000,0.564356,0.570000
25,head,0.380282,0.540000,0.172078,0.530000,0.385650,0.430000
26,head,0.398268,0.460000,0.080000,0.070000,0.336449,0.360000
27,head,0.309524,0.260000,0.244726,0.290000,0.300000,0.360000
28,head,0.582734,0.810000,0.669903,0.690000,0.640693,0.740000
29,head,0.436019,0.460000,0.314465,0.250000,0.377880,0.410000
30,head,0.465347,0.470000,0.236220,0.150000,0.459184,0.450000
31,head,0.433566,0.310000,0.271468,0.490000,0.423077,0.440000
32,head,0.414815,0.560000,0.292683,0.180000,0.432161,0.430000
33,mid,0.475806,0.590000,0.441176,0.450000,0.448430,0.500000
34,mid,0.444444,0.480000,0.134328,0.090000,0.268293,0.220000
35,mid,0.299517,0.310000,0.088496,0.050000,0.184397,0.130000
36,mid,0.556863,0.710000,0.335664,0.240000,0.490385,0.510000
37,mid,0.496815,0.390000,0.494118,0.420000,0.558376,0.550000
38,mid,0.403509,0.460000,0.112000,0.070000,0.255102,0.250000
39,mid,0.606299,0.770000,0.492063,0.620000,0.559585,0.540000
40,mid,0.387755,0.570000,0.360515,0.420000,0.434389,0.480000
41,mid,0.741573,0.660000,0.651429,0.570000,0.659898,0.650000
42,mid,0.310044,0.710000,0.155039,0.100000,0.306977,0.330000
43,mid,0.439716,0.620000,0.243902,0.150000,0.454545,0.450000
44,mid,0.215054,0.200000,0.156863,0.160000,0.167665,0.140000
45,mid,0.228188,0.170000,0.160888,0.580000,0.218905,0.220000
46,mid,0.288889,0.260000,0.019231,0.010000,0.336449,0.360000
47,mid,0.442667,0.830000,0.524590,0.640000,0.549451,0.500000
48,mid,0.782609,0.720000,0.409449,0.260000,0.686567,0.690000
49,mid,0.638743,0.610000,0.478873,0.340000,0.592965,0.590000
50,mid,0.188406,0.130000,0.096000,0.060000,0.165605,0.130000
51,mid,0.440678,0.390000,0.305263,0.290000,0.359447,0.390000
52,mid,0.144144,0.080000,0.188034,0.110000,0.593301,0.620000
53,mid,0.663968,0.820000,0.647541,0.790000,0.707424,0.810000
54,mid,0.327869,0.200000,0.493827,0.600000,0.552301,0.660000
55,mid,0.036364,0.020000,0.035714,0.020000,0.054795,0.040000
56,mid,0.589041,0.430000,0.531469,0.380000,0.663102,0.620000
57,mid,0.534161,0.430000,0.494624,0.460000,0.582915,0.580000
58,mid,0.651429,0.570000,0.520231,0.450000,0.607843,0.620000
59,mid,0.377622,0.270000,0.336634,0.340000,0.350282,0.310000
60,mid,0.761421,0.750000,0.640884,0.580000,0.722513,0.690000
61,mid,0.481481,0.390000,0.507143,0.710000,0.515464,0.500000
62,mid,0.455598,0.590000,0.466667,0.560000,0.536082,0.520000
63,mid,0.326241,0.230000,0.328889,0.370000,0.417476,0.430000
64,mid,0.211382,0.130000,0.053097,0.030000,0.141176,0.120000
65,mid,0.216216,0.160000,0.068966,0.040000,0.120482,0.100000
66,mid,0.542714,0.540000,0.305085,0.270000,0.350230,0.380000
67,tail,0.314176,0.410000,0.247934,0.150000,0.395349,0.340000
68,tail,0.825397,0.780000,0.762332,0.850000,0.800000,0.860000
69,tail,0.595745,0.560000,0.541436,0.490000,0.616822,0.660000
70,tail,0.308943,0.190000,0.225806,0.140000,0.497409,0.480000
71,tail,0.506329,0.400000,0.503185,0.790000,0.613953,0.660000
72,tail,0.123894,0.070000,0.128079,0.130000,0.160000,0.140000
73,tail,0.353357,0.500000,0.285714,0.200000,0.354167,0.340000
74,tail,0.258993,0.180000,0.255814,0.440000,0.347418,0.370000
75,tail,0.748538,0.640000,0.548736,0.760000,0.639269,0.700000
76,tail,0.622407,0.750000,0.632911,0.500000,0.707071,0.700000
77,tail,0.324675,0.250000,0.273684,0.390000,0.341709,0.340000
78,tail,0.302326,0.260000,0.307692,0.360000,0.347418,0.370000
79,tail,0.305556,0.220000,0.312500,0.250000,0.364641,0.330000
80,tail,0.038835,0.020000,0.018349,0.010000,0.070922,0.050000
81,tail,0.132231,0.080000,0.526316,0.450000,0.488688,0.540000
82,tail,0.701923,0.730000,0.767568,0.710000,0.784946,0.730000
83,tail,0.346154,0.270000,0.297872,0.210000,0.424242,0.420000
84,tail,0.211382,0.130000,0.182353,0.310000,0.331797,0.360000
85,tail,0.534884,0.460000,0.442308,0.460000,0.567568,0.630000
86,tail,0.407186,0.340000,0.214876,0.130000,0.423077,0.440000
87,tail,0.431611,0.710000,0.283784,0.210000,0.566038,0.600000
88,tail,0.266667,0.160000,0.057692,0.030000,0.331658,0.330000
89,tail,0.426471,0.290000,0.454936,0.530000,0.497778,0.560000
