class_idx,region,baseline_f1,baseline_acc,rebal_f1,rebal_acc,rebal_crt_f1,rebal_crt_acc
31,head,0.489796,0.480000,0.644068,0.570000,0.645833,0.620000
32,head,0.463277,0.410000,0.556604,0.590000,0.567442,0.610000
33,mid,0.457831,0.380000,0.629108,0.670000,0.619048,0.650000
34,mid,0.358974,0.630000,0.566038,0.600000,0.574257,0.580000
35,mid,0.285000,0.570000,0.382979,0.360000,0.405660,0.430000
36,mid,0.565737,0.710000,0.709677,0.660000,0.700508,0.690000
37,mid,0.483986,0.680000,0.608247,0.590000,0.657005,0.680000
38,mid,0.335443,0.530000,0.437158,0.400000,0.433180,0.470000
39,mid,0.614035,0.700000,0.714286,0.750000,0.720812,0.710000
40,mid,0.448718,0.350000,0.554113,0.640000,0.520661,0.630000
41,mid,0.675676,0.750000,0.807882,0.820000,0.812183,0.800000
42,mid,0.348449,0.730000,0.543554,0.780000,0.607930,0.690000
43,mid,0.471074,0.570000,0.659686,0.630000,0.663265,0.650000
44,mid,0.309524,0.260000,0.338983,0.400000,0.348485,0.460000
45,mid,0.183206,0.120000,0.441315,0.470000,0.447619,0.470000
46,mid,0.080000,0.050000,0.446512,0.480000,0.473684,0.540000
47,mid,0.404372,0.370000,0.598131,0.640000,0.596154,0.620000
48,mid,0.774566,0.670000,0.769874,0.920000,0.796460,0.900000
49,mid,0.603509,0.860000,0.772277,0.780000,0.789744,0.770000
50,mid,0.251163,0.270000,0.404145,0.390000,0.432432,0.480000
51,mid,0.426396,0.420000,0.585366,0.600000,0.602041,0.590000
52,mid,0.554517,0.890000,0.611872,0.670000,0.625000,0.700000
53,mid,0.678899,0.740000,0.839623,0.890000,0.830189,0.880000
54,mid,0.582278,0.690000,0.740741,0.800000,0.733945,0.800000
55,mid,0.098361,0.060000,0.331606,0.320000,0.294416,0.290000
56,mid,0.770115,0.670000,0.797814,0.730000,0.813187,0.740000
57,mid,0.486239,0.530000,0.718750,0.690000,0.722513,0.690000
58,mid,0.581395,0.500000,0.771574,0.760000,0.772487,0.730000
59,mid,0.407643,0.320000,0.577114,0.580000,0.608696,0.630000
60,mid,0.725146,0.620000,0.842105,0.800000,0.830769,0.810000
61,mid,0.434211,0.330000,0.582915,0.580000,0.598930,0.560000
62,mid,0.483660,0.370000,0.621762,0.600000,0.613065,0.610000
63,mid,0.423913,0.390000,0.610837,0.620000,0.607735,0.550000
64,mid,0.262626,0.260000,0.448485,0.370000,0.441860,0.380000
65,mid,0.106195,0.060000,0.390805,0.340000,0.415842,0.420000
66,mid,0.417112,0.390000,0.587065,0.590000,0.610837,0.620000
67,tail,0.279412,0.190000,0.448780,0.460000,0.476684,0.460000
68,tail,0.757709,0.860000,0.833333,0.850000,0.822335,0.810000
69,tail,0.654971,0.560000,0.724324,0.670000,0.716578,0.670000
70,tail,0.444444,0.300000,0.684492,0.640000,0.691892,0.640000
71,tail,0.552632,0.420000,0.761421,0.750000,0.737374,0.730000
72,tail,0.038095,0.020000,0.255556,0.230000,0.228261,0.210000
73,tail,0.353414,0.440000,0.398058,0.410000,0.398148,0.430000
74,tail,0.292929,0.290000,0.439252,0.470000,0.431579,0.410000
75,tail,0.703297,0.640000,0.740000,0.740000,0.752809,0.670000
76,tail,0.539007,0.380000,0.836735,0.820000,0.852632,0.810000
77,tail,0.369863,0.270000,0.529730,0.490000,0.526316,0.450000
78,tail,0.285714,0.220000,0.460733,0.440000,0.476190,0.400000
79,tail,0.441176,0.300000,0.635838,0.550000,0.639053,0.540000
80,tail,0.019048,0.010000,0.381579,0.290000,0.402367,0.340000
81,tail,0.420513,0.410000,0.533981,0.550000,0.554455,0.560000
82,tail,0.688312,0.530000,0.827225,0.790000,0.844920,0.790000
83,tail,0.188406,0.130000,0.491620,0.440000,0.491228,0.420000
84,tail,0.150000,0.090000,0.437086,0.330000,0.418301,0.320000
85,tail,0.554348,0.510000,0.697674,0.600000,0.713450,0.610000
86,tail,0.369048,0.310000,0.635897,0.620000,0.644444,0.580000
87,tail,0.057143,0.030000,0.702128,0.660000,0.681081,0.630000
88,tail,0.487500,0.390000,0.674157,0.600000,0.666667,0.560000
89,tail,0.203390,0.120000,0.678363,0.580000,0.655556,0.590000
90,tail,0.144144,0.080000,0.655367,0.580000,0.682353,0.580000
91,tail,0.503067,0.410000,0.658960,0.570000,0.630303,0.520000
92,tail,0.156250,0.100000,0.519481,0.400000,0.562500,0.450000
93,tail,0.038462,0.020000,0.357616,0.270000,0.302158,0.210000
94,tail,0.636943,0.500000,0.837696,0.800000,0.813187,0.740000
95,tail,0.224000,0.140000,0.497041,0.420000,0.484472,0.390000
96,tail,0.019802,0.010000,0.323944,0.230000,0.319444,0.230000
97,tail,0.137931,0.080000,0.481752,0.330000,0.529801,0.400000
98,tail,0.000000,0.000000,0.232558,0.150000,0.238806,0.160000
99,tail,0.224138,0.130000,0.509554,0.400000,0.528302,0.420000
