class_idx,region,baseline_f1,baseline_acc,rebal_f1,rebal_acc,rebal_crt_f1,rebal_crt_acc
0,head,0.513812,0.930000,0.828283,0.820000,0.824121,0.820000
1,head,0.516129,0.800000,0.741071,0.830000,0.746667,0.840000
2,head,0.357955,0.630000,0.497653,0.530000,0.511013,0.580000
3,head,0.296875,0.380000,0.409091,0.450000,0.406375,0.510000
4,head,0.288066,0.350000,0.401544,0.520000,0.462810,0.560000
5,head,0.453488,0.780000,0.626728,0.680000,0.609865,0.680000
6,head,0.481605,0.720000,0.728111,0.790000,0.696833,0.770000
7,head,0.424658,0.310000,0.626728,0.680000,0.676190,0.710000
8,head,0.735426,0.820000,0.770000,0.770000,0.785714,0.770000
9,head,0.669725,0.730000,0.774869,0.740000,0.723005,0.770000
10,head,0.312217,0.690000,0.427350,0.500000,0.442478,0.500000
11,head,0.216667,0.260000,0.393305,0.470000,0.376812,0.390000
12,head,0.531401,0.550000,0.639004,0.770000,0.607287,0.750000
13,head,0.360000,0.270000,0.566667,0.680000,0.593607,0.650000
14,head,0.442211,0.440000,0.519149,0.610000,0.506329,0.600000
15,head,0.363636,0.260000,0.632558,0.680000,0.591304,0.680000
16,head,0.497992,0.620000,0.632035,0.730000,0.649123,0.740000
17,head,0.636015,0.830000,0.782609,0.720000,0.763819,0.760000
18,head,0.456621,0.500000,0.527363,0.530000,0.517413,0.520000
19,head,0.455556,0.410000,0.552083,0.530000,0.522167,0.530000
20,head,0.765306,0.750000,0.740088,0.840000,0.739336,0.780000
21,head,0.678112,0.790000,0.789744,0.770000,0.743961,0.770000
22,head,0.522613,0.520000,0.573913,0.660000,0.575221,0.650000
23,head,0.598361,0.730000,0.764706,0.780000,0.754717,0.800000
24,head,0.640777,0.660000,0.757576,0.750000,0.778325,0.790000
25,head,0.371795,0.580000,0.524752,0.530000,0.482456,0.550000
26,head,0.402685,0.300000,0.459364,0.650000,0.506224,0.610000
27,head,0.333333,0.350000,0.421488,0.510000,0.384279,0.440000
28,head,0.648649,0.600000,0.737374,0.730000,0.766169,0.770000
29,head,0.397394,0.610000,0.535885,0.560000,0.487395,0.580000
30,head,0.476562,0.610000,0.583333,0.630000,0.580357,0.650000
